Topic,Rank,Keyword,Probability
0,1,孩子,0.04242505
0,2,医生,0.025143698
0,3,父母,0.015403871
0,4,精神科,0.015160153
0,5,医院,0.015152609
0,6,做梦,0.014947644
0,7,小时,0.014882412
0,8,玫瑰,0.014654032
0,9,肯定,0.013336537
0,10,不好,0.012455091
1,1,抑郁,0.04992423
1,2,感觉,0.038441032
1,3,焦虑,0.020151006
1,4,发现,0.0163907
1,5,朋友,0.015437248
1,6,不想,0.014345576
1,7,不到,0.01362466
1,8,情绪,0.012996777
1,9,事情,0.011658385
1,10,思维,0.010189163
2,1,抑郁,0.027915498
2,2,世界,0.021081824
2,3,抑郁症,0.020460004
2,4,人生,0.019096013
2,5,痛苦,0.017068764
2,6,心理疾病,0.016597472
2,7,喜欢,0.015657116
2,8,一个月,0.013879531
2,9,心态,0.013370144
2,10,障碍,0.013299304
3,1,抑郁,0.08856551
3,2,抑郁症,0.07236129
3,3,医院,0.061314132
3,4,医生,0.050011333
3,5,确诊,0.035405543
3,6,检查,0.026160752
3,7,焦虑,0.023548527
3,8,心理,0.018246476
3,9,重度,0.016553074
3,10,症状,0.014728871
4,1,奶茶,0.07516377
4,2,石化,0.048251107
4,3,社会,0.027618742
4,4,一杯,0.022756686
4,5,抑郁,0.022194829
4,6,工作,0.017539617
4,7,上班,0.017195988
4,8,压力,0.015926395
4,9,数据,0.013865924
4,10,不想,0.01193263
5,1,感觉,0.040735867
5,2,焦虑,0.016642584
5,3,事情,0.016256183
5,4,害怕,0.015040374
5,5,失眠,0.012524024
5,6,不想,0.012431089
5,7,晚上,0.011131663
5,8,情绪,0.010731926
5,9,睡不着,0.010586347
5,10,睡觉,0.010291182
6,1,捂脸,0.048468843
6,2,感觉,0.033640426
6,3,工作,0.0332098
6,4,心脏,0.02157666
6,5,难受,0.020427417
6,6,控制,0.017330235
6,7,微笑,0.01732338
6,8,不住,0.015007332
6,9,还会,0.014564262
6,10,心跳,0.010911958
7,1,抑郁,0.028413601
7,2,焦虑,0.022894477
7,3,抑郁症,0.02110741
7,4,重度,0.017413884
7,5,吃药,0.013322521
7,6,感觉,0.013256965
7,7,中度,0.012739892
7,8,开心,0.010675225
7,9,难受,0.010193204
7,10,事情,0.009705026
