Region,Region_zh,n,Negative_n,Negative_%,Neutral_n,Neutral_%,Positive_n,Positive_%
Shanxi,山西,72,18,25,53,73.6,1,1.4
Jilin,吉林,76,18,23.7,56,73.7,2,2.6
Tianjin,天津,96,21,21.9,71,74,4,4.2
Fujian,福建,192,40,20.8,150,78.1,2,1
Anhui,安徽,158,32,20.3,112,70.9,14,8.9
Heilongjiang,黑龙江,84,17,20.2,62,73.8,5,6
Jiangxi,江西,113,22,19.5,85,75.2,6,5.3
Guizhou,贵州,52,10,19.2,42,80.8,0,0
Henan,河南,200,38,19,153,76.5,9,4.5
Zhejiang,浙江,372,69,18.5,288,77.4,15,4
Jiangsu,江苏,442,79,17.9,341,77.1,22,5
Chongqing,重庆,123,21,17.1,96,78,6,4.9
Guangdong,广东,734,125,17,578,78.7,31,4.2
Hebei,河北,189,32,16.9,151,79.9,6,3.2
Sichuan,四川,296,50,16.9,231,78,15,5.1
Liaoning,辽宁,156,26,16.7,124,79.5,6,3.8
Shaanxi,陕西,130,21,16.2,101,77.7,8,6.2
Shandong,山东,347,53,15.3,246,70.9,48,13.8
Hubei,湖北,189,29,15.3,154,81.5,6,3.2
Hunan,湖南,180,27,15,144,80,9,5
Shanghai,上海,253,36,14.2,200,79.1,17,6.7
Yunnan,云南,100,14,14,78,78,8,8
Guangxi,广西,136,19,14,112,82.4,5,3.7
Beijing,北京,236,33,14,191,80.9,12,5.1
Malaysia,马来西亚,58,8,13.8,42,72.4,8,13.8
Inner Mongolia,内蒙古,54,3,5.6,48,88.9,3,5.6
