K,Coherence_Cv,Log_Perplexity,Perplexity,
4,0.527233731,-5.96610067,389.98203354590163,
5,0.4910703561543541,-5.980509253,395.6417987266784,
6,0.4946368552033055,-6.002284321,404.3514077,
7,0.4768129495905217,-6.017517159,410.55797914888603,
8,0.510743836,-6.024490244,413.4308395015004,
9,0.4847912675394103,-6.037922603,419.02165569908686,
10,0.4861931480369271,-6.034964689,417.78405720048517,
11,0.5142030522329395,-6.054168376,425.8845821673882,
12,0.4791697940307614,-6.108519568,449.67251244688543,
,,,, 
