region,n,topic1_net,topic2_net,topic3_net,topic4_net,topic5_net,topic6_net,topic7_net,topic8_net
上海,253,0.0,0.0,-0.22,0.0,-0.093,-0.125,0.118,0.211
云南,100,0.0,0.0,-0.143,0.0,0.067,-0.2,0.062,0.0
内蒙古,54,0.0,0.0,-0.038,0.0,0.0,0.0,0.1,0.0
北京,236,0.0,0.0,-0.124,0.071,-0.185,-0.375,-0.018,0.0
吉林,76,0.0,-0.333,-0.289,0.0,0.0,0.0,-0.133,0.0
四川,296,-0.125,0.0,-0.222,0.2,-0.133,-0.154,-0.041,0.0
天津,96,0.0,0.0,-0.3,0.0,0.111,-0.333,-0.15,0.333
安徽,158,0.0,0.0,-0.256,0.0,0.0,-0.143,0.111,0.333
山东,347,-0.111,0.0,-0.157,0.0,0.167,0.0,0.035,0.381
山西,72,0.0,0.0,-0.342,-0.333,-0.125,-0.25,-0.083,0.0
广东,734,0.05,0.057,-0.215,-0.059,-0.075,-0.316,-0.065,0.0
广西,136,0.0,0.0,-0.143,0.0,-0.1,-0.25,-0.062,0.0
江苏,442,0.0,0.0,-0.23,0.0,-0.023,-0.4,-0.039,0.105
江西,113,,0.0,-0.263,0.0,0.0,-0.167,0.0,0.0
河北,189,-0.143,0.0,-0.241,-0.062,-0.091,-0.1,-0.051,0.0
河南,200,0.0,0.0,-0.312,0.0,0.036,-0.429,0.031,0.111
浙江,372,0.0,-0.067,-0.213,-0.111,-0.111,-0.091,-0.089,0.0
湖北,189,-0.2,0.0,-0.194,0.0,-0.105,-0.143,-0.073,0.167
湖南,180,-0.25,0.0,-0.168,0.0,0.0,-0.2,0.034,0.0
福建,192,-0.25,0.0,-0.33,0.0,-0.217,0.0,-0.025,0.0
贵州,52,0.0,0.0,-0.261,0.0,0.0,-0.667,-0.091,-0.5
辽宁,156,-0.167,0.0,-0.203,0.111,-0.267,0.0,0.0,0.0
重庆,123,0.0,0.0,-0.273,0.0,-0.062,0.0,0.038,0.0
陕西,130,-0.333,0.0,-0.189,0.083,-0.125,-0.286,0.033,0.0
马来西亚,58,0.0,0.0,-0.125,0.0,0.2,-0.5,0.1,1.0
黑龙江,84,0.0,0.0,-0.19,0.0,-0.077,0.0,-0.188,0.0
