negative,topic,hour,tod,region
0,8,17.0,Afternoon,Henan
0,3,17.0,Afternoon,Shanghai
1,3,17.0,Afternoon,Malaysia
0,3,17.0,Afternoon,Hebei
1,3,17.0,Afternoon,Shandong
0,3,17.0,Afternoon,Tianjin
0,7,17.0,Afternoon,Malaysia
0,7,17.0,Afternoon,Henan
0,8,17.0,Afternoon,Guangdong
0,3,17.0,Afternoon,Zhejiang
0,3,17.0,Afternoon,Guangdong
0,5,17.0,Afternoon,Shandong
0,3,17.0,Afternoon,Guangdong
0,3,17.0,Afternoon,Hainan
0,7,17.0,Afternoon,Shandong
0,5,17.0,Afternoon,Anhui
0,3,17.0,Afternoon,Henan
0,8,16.0,Afternoon,Zhejiang
0,8,16.0,Afternoon,Shandong
0,5,17.0,Afternoon,Shandong
0,5,17.0,Afternoon,Jiangsu
0,3,17.0,Afternoon,Xinjiang
0,2,16.0,Afternoon,Jiangsu
0,5,17.0,Afternoon,Henan
0,2,16.0,Afternoon,Hunan
0,5,16.0,Afternoon,United States
0,5,17.0,Afternoon,Shandong
0,3,17.0,Afternoon,Anhui
0,8,15.0,Afternoon,Shandong
0,7,15.0,Afternoon,Shandong
0,3,16.0,Afternoon,Hubei
0,3,15.0,Afternoon,Shanxi
0,4,15.0,Afternoon,Jiangxi
0,8,16.0,Afternoon,Tianjin
0,5,15.0,Afternoon,Guangxi
0,3,15.0,Afternoon,Malaysia
0,3,15.0,Afternoon,Jiangsu
0,8,17.0,Afternoon,Tianjin
0,8,14.0,Afternoon,Guangdong
0,5,15.0,Afternoon,Beijing
0,3,15.0,Afternoon,Jiangsu
0,7,17.0,Afternoon,Tianjin
0,5,15.0,Afternoon,Guangxi
0,3,17.0,Afternoon,South Africa
0,3,15.0,Afternoon,Guangdong
0,5,16.0,Afternoon,Hebei
0,3,15.0,Afternoon,Sichuan
0,3,15.0,Afternoon,Liaoning
0,3,15.0,Afternoon,Hunan
0,5,14.0,Afternoon,Henan
0,4,16.0,Afternoon,Zhejiang
0,8,14.0,Afternoon,Shanghai
0,5,16.0,Afternoon,Liaoning
0,7,15.0,Afternoon,Guangdong
0,5,14.0,Afternoon,Shandong
0,3,17.0,Afternoon,Beijing
0,3,15.0,Afternoon,Zhejiang
0,3,15.0,Afternoon,Heilongjiang
0,2,14.0,Afternoon,Hebei
0,1,16.0,Afternoon,Shanxi
0,3,17.0,Afternoon,Guangdong
0,5,14.0,Afternoon,Shandong
0,3,14.0,Afternoon,Fujian
0,3,14.0,Afternoon,Liaoning
0,4,16.0,Afternoon,Hebei
0,7,17.0,Afternoon,Guangdong
0,3,14.0,Afternoon,Fujian
1,3,14.0,Afternoon,Zhejiang
1,7,17.0,Afternoon,Fujian
0,3,14.0,Afternoon,Guangxi
0,3,14.0,Afternoon,Gansu
0,3,14.0,Afternoon,Chongqing
0,8,14.0,Afternoon,Guangdong
0,3,15.0,Afternoon,Canada
1,6,16.0,Afternoon,Henan
0,6,14.0,Afternoon,Hunan
1,3,15.0,Afternoon,Jiangsu
1,3,16.0,Afternoon,Japan
0,3,14.0,Afternoon,Liaoning
0,2,14.0,Afternoon,Shandong
1,3,14.0,Afternoon,Fujian
0,7,16.0,Afternoon,Hunan
0,7,13.0,Afternoon,Guangdong
0,5,14.0,Afternoon,Shaanxi
0,8,14.0,Afternoon,Guangdong
0,8,13.0,Afternoon,Guangdong
0,5,15.0,Afternoon,Guangdong
0,3,15.0,Afternoon,Sichuan
0,7,15.0,Afternoon,Shanghai
0,6,13.0,Afternoon,Fujian
0,3,17.0,Afternoon,Shandong
0,8,17.0,Afternoon,Hunan
0,3,17.0,Afternoon,Guangdong
1,3,17.0,Afternoon,Liaoning
0,3,13.0,Afternoon,Sichuan
0,2,14.0,Afternoon,Hubei
0,8,14.0,Afternoon,Fujian
0,8,14.0,Afternoon,Shandong
0,5,13.0,Afternoon,Heilongjiang
0,3,13.0,Afternoon,Shaanxi
0,5,15.0,Afternoon,Henan
0,3,13.0,Afternoon,Shandong
1,7,13.0,Afternoon,Shandong
0,8,13.0,Afternoon,Shanghai
